cgpa,projects,internships,certifications,python,ml,sql,communication,employability
6.4,1,1,5,0,0,0,1,1
8.35,3,3,2,0,1,0,0,1
6.45,4,2,4,0,0,1,0,0
6.8,1,3,4,1,1,1,1,1
8.49,5,1,0,0,0,1,0,1
8.1,4,0,2,1,1,0,0,1
8.9,2,3,5,1,1,0,0,1
8.13,0,3,2,0,1,1,0,1
7.77,5,1,4,1,1,1,0,1
5.87,2,1,5,0,1,0,0,0
6.97,1,3,3,1,1,1,0,1
6.56,3,2,0,1,1,0,1,1
6.48,4,3,4,0,1,0,0,1
9.39,0,1,1,0,1,0,1,1
7.07,4,0,1,0,0,1,1,1
9.07,1,0,0,0,0,1,1,1
8.02,4,2,3,0,1,0,0,1
8.68,0,3,4,1,0,1,0,1
7.51,1,0,2,1,1,0,1,1
7.81,4,3,0,1,1,0,0,1
7.47,3,1,3,1,0,0,1,1
6.28,5,0,2,1,1,0,0,1
8.39,1,2,1,1,1,1,0,1
6.62,5,1,1,1,0,0,1,1
5.6,1,2,2,0,0,0,1,0
8.08,3,1,0,0,1,1,1,1
6.21,5,0,1,1,0,0,0,0
9.26,2,2,4,1,0,0,1,1
9.32,0,2,5,0,1,1,0,1
9.16,2,1,2,0,0,1,0,1
6.98,4,2,2,0,0,1,0,1
5.56,3,1,1,0,1,0,1,1
9.21,2,1,0,1,0,1,1,1
7.21,1,1,4,0,0,1,1,1
9.37,4,1,0,1,1,0,0,1
9.35,4,0,3,1,1,0,0,1
8.91,2,1,3,1,1,0,1,1
6.68,2,3,5,0,0,0,0,1
7.04,3,2,1,0,1,0,0,1
8.9,0,3,1,1,1,1,1,1
6.77,2,0,1,1,0,1,1,1
6.18,2,3,5,1,1,1,1,1
7.73,5,2,3,0,1,0,0,1
9.24,1,3,0,1,1,0,0,1
8.28,5,0,5,0,1,0,0,1
7.78,5,1,5,1,0,1,0,1
5.89,4,3,0,1,1,1,0,1
7.96,0,0,1,1,1,0,1,0
9.46,1,0,4,0,0,1,0,1
6.06,3,2,0,0,1,0,0,0
7.57,3,2,3,1,0,1,0,1
9.01,2,3,2,0,0,1,1,1
8.46,2,1,2,1,0,1,1,1
8.29,3,0,5,0,1,0,1,1
8.31,2,3,2,0,0,1,0,1
6.94,0,0,4,0,0,1,1,1
6.67,5,0,1,1,0,0,1,1
8.74,2,1,3,0,1,1,1,1
8.74,4,1,4,0,1,0,0,1
8.97,2,3,3,1,1,0,1,1
9.15,1,1,3,1,1,0,0,1
7.55,0,1,1,1,1,0,0,1
7.51,1,3,5,1,1,0,1,1
8.69,1,1,2,0,1,1,0,1
8.1,4,2,1,0,0,0,1,1
8.31,0,0,4,0,0,0,0,1
8.68,0,0,5,0,0,0,1,1
9.06,0,0,4,0,0,0,1,1
6.85,0,0,5,1,1,1,1,1
7.0,0,3,4,0,0,0,0,1
5.88,4,0,1,0,0,1,1,1
7.81,2,0,5,0,0,0,0,1
5.64,1,0,5,1,0,1,1,1
7.36,0,0,3,1,1,0,0,1
7.67,2,2,3,0,1,0,0,1
6.65,2,0,0,1,1,1,1,1
7.86,1,2,4,1,0,0,1,1
5.62,4,3,3,1,1,1,1,1
5.65,3,1,0,1,0,0,1,0
8.79,3,0,3,1,1,1,1,1
6.94,2,1,4,1,1,0,0,1
6.01,5,1,5,1,1,0,1,1
7.59,5,3,2,0,1,1,1,1
8.58,1,1,4,0,1,0,0,1
6.36,3,2,1,1,0,0,1,1
7.99,2,1,3,0,1,0,1,1
5.84,4,1,3,0,0,0,0,1
5.71,3,1,5,1,0,0,1,1
7.63,2,0,1,0,0,0,1,1
7.66,2,0,5,1,0,1,1,1
8.05,0,2,1,1,0,1,0,1
8.4,4,2,2,1,1,1,1,1
9.4,0,0,3,0,1,0,0,1
7.57,1,2,3,0,1,1,1,0
6.79,0,0,2,0,1,0,0,0
8.68,0,3,0,0,0,0,1,0
6.58,3,1,5,1,1,0,0,1
7.26,5,1,2,1,1,0,0,1
5.81,2,2,5,0,0,1,0,1
5.6,4,0,4,1,0,0,0,0
9.35,0,0,3,1,1,1,0,1
8.84,4,2,5,0,1,0,0,1
8.28,5,0,1,1,0,1,1,1
7.14,5,3,5,0,1,1,1,1
6.19,0,1,4,1,1,1,0,1
6.13,1,2,3,0,1,1,0,1
6.5,0,2,2,1,1,1,0,1
7.7,3,0,4,1,0,1,0,1
8.36,2,2,3,0,0,0,1,1
8.14,1,3,5,0,0,1,0,1
6.62,0,0,0,0,1,0,1,0
9.32,4,0,0,0,1,1,1,1
8.45,1,0,1,1,1,0,0,1
7.72,1,0,3,1,1,1,0,1
7.95,0,3,0,0,1,1,1,1
7.18,1,0,2,1,0,0,1,1
6.49,4,2,3,0,1,1,0,1
6.92,5,3,2,0,1,1,0,1
8.53,1,1,2,1,0,1,0,1
5.56,5,1,0,1,1,0,1,1
5.96,4,2,3,0,0,1,1,1
5.68,0,2,5,0,0,0,0,0
5.66,2,3,4,0,0,1,1,1
8.92,1,1,0,1,0,1,1,1
8.31,2,1,0,1,0,0,0,1
7.4,4,1,5,1,1,1,0,1
5.89,1,1,3,1,0,1,1,0
7.47,5,1,3,0,0,0,1,1
7.39,3,0,2,0,1,1,0,1
6.19,2,2,5,0,1,0,0,1
7.24,1,0,5,0,0,0,0,0
7.09,2,1,3,0,1,0,0,1
7.96,1,3,2,0,1,1,0,1
8.04,0,3,0,1,0,0,1,1
5.68,5,1,1,1,0,0,1,1
7.0,2,1,4,0,1,1,1,1
8.0,3,3,0,0,0,0,1,1
7.51,3,0,3,1,0,1,0,1
8.93,4,0,4,1,1,1,0,1
8.13,1,1,1,1,0,1,0,1
6.15,2,0,1,1,0,1,1,1
5.78,4,3,2,0,0,0,1,1
8.07,2,0,4,0,0,0,1,1
5.61,1,1,2,0,0,0,0,0
7.84,3,3,0,0,1,0,1,1
9.26,0,0,5,0,1,0,0,1
7.8,3,2,5,1,0,1,0,1
7.05,4,3,5,0,1,0,0,1
8.07,5,3,4,1,0,0,0,1
7.33,0,2,5,0,0,0,0,1
7.68,4,2,0,0,0,1,0,1
9.27,1,3,2,0,0,1,1,1
7.04,0,2,4,0,0,0,0,1
9.34,4,1,2,0,1,1,0,1
9.12,1,1,4,1,1,0,1,1
6.28,3,1,2,1,0,0,0,0
5.78,5,3,1,1,1,1,1,1
5.9,1,2,2,0,0,1,1,0
5.57,2,2,5,0,1,0,1,1
5.88,1,0,1,1,0,0,0,0
8.23,1,0,2,0,1,1,0,0
5.78,5,2,4,0,0,0,1,1
6.78,2,2,4,1,0,1,0,1
8.88,4,2,4,0,1,0,0,1
5.59,4,3,3,1,1,1,1,1
8.76,1,2,0,0,0,0,1,1
6.63,2,0,4,1,1,0,0,1
5.97,2,3,1,0,0,1,1,1
8.29,5,2,4,0,1,0,1,1
8.02,3,0,3,1,1,0,1,1
9.01,4,3,5,0,0,1,0,1
8.44,5,2,1,0,1,0,0,1
8.71,0,2,3,1,1,0,0,1
6.63,4,2,5,0,0,0,1,1
6.21,5,3,1,1,1,1,0,1
8.5,4,0,2,0,0,1,1,1
8.73,3,0,0,0,0,1,0,1
9.46,0,1,0,0,0,0,0,0
7.15,3,2,3,0,0,0,1,1
6.99,0,1,5,1,0,0,0,1
8.61,1,1,0,0,1,0,1,1
6.86,5,0,5,1,0,1,0,1
9.22,0,3,5,0,0,0,0,1
8.93,3,3,3,0,1,0,1,1
7.22,4,0,3,0,1,0,1,1
8.5,0,3,3,0,1,1,1,1
8.52,5,1,0,1,0,0,0,1
5.91,0,2,3,1,0,0,0,0
9.11,2,0,0,1,0,0,0,1
7.52,4,2,3,1,1,0,1,1
8.81,5,3,4,0,0,0,1,1
6.78,5,2,5,1,1,1,1,1
9.08,1,3,3,1,0,0,0,1
7.06,3,3,1,0,1,0,0,1
5.54,1,1,5,0,0,0,1,1
9.12,5,3,5,0,0,0,0,1
5.87,4,1,3,0,0,0,1,1
6.78,0,1,2,1,1,0,0,1
9.3,0,1,3,1,1,0,0,1
9.3,4,0,5,0,0,0,1,1
7.79,5,0,1,0,0,0,0,0
8.03,0,3,5,0,0,0,0,1
7.29,0,1,1,1,1,1,1,1
6.67,0,0,0,1,0,1,1,1
6.81,3,1,4,0,0,1,0,1
8.19,3,2,5,0,0,1,1,1
8.51,2,2,3,1,0,0,0,1
8.67,1,2,0,0,1,1,1,1
8.66,4,3,4,0,1,1,0,1
5.86,4,1,3,1,0,0,0,0
7.48,4,2,2,0,0,1,1,1
5.73,2,0,3,1,1,1,0,1
7.7,3,2,1,0,1,0,0,1
7.27,5,2,1,0,0,0,1,1
9.05,5,2,2,1,1,0,1,1
6.9,2,3,0,1,1,1,0,1
5.97,5,0,4,0,0,1,1,1
6.07,4,1,3,1,1,0,1,1
8.55,1,0,1,0,1,0,0,1
7.97,0,1,0,0,0,1,0,1
5.9,3,3,2,1,0,0,1,1
5.84,3,3,5,0,1,1,1,1
8.3,2,3,1,0,0,0,1,1
5.79,3,3,2,1,1,0,0,1
8.79,4,1,3,1,0,1,0,1
8.32,5,2,4,0,1,0,0,1
5.83,4,1,1,1,0,0,0,1
5.84,2,0,1,1,1,0,0,1
9.45,4,3,3,1,1,1,0,1
7.0,5,3,5,1,1,0,0,1
6.98,1,0,0,0,0,0,1,0
8.75,2,1,4,0,0,0,1,1
9.29,1,2,1,0,1,0,0,1
9.44,0,2,4,1,1,0,0,1
8.51,1,0,1,1,0,0,0,0
7.01,0,2,4,1,0,1,1,1
5.83,0,1,2,1,0,1,0,0
8.61,1,1,1,1,0,0,1,1
7.73,2,0,4,1,0,1,1,1
7.2,5,1,0,1,0,1,1,1
9.13,4,3,2,0,1,0,1,1
5.94,4,0,2,0,0,1,1,0
7.47,5,1,0,1,1,1,0,1
5.55,0,0,4,1,0,1,0,1
7.37,0,2,3,1,0,1,1,1
5.73,2,1,0,0,1,1,0,1
5.98,3,3,4,0,1,1,1,1
5.97,1,1,0,1,0,1,1,0
8.1,0,0,0,1,1,1,0,1
8.48,4,0,1,0,1,0,0,1
7.83,2,1,4,0,1,0,0,1
9.35,1,3,3,0,1,1,0,1
7.0,2,3,1,0,0,1,0,1
6.64,1,3,0,1,1,0,1,1
8.97,1,0,5,0,0,1,0,1
6.39,5,1,0,0,0,1,0,1
9.35,0,2,0,1,0,0,0,1
5.55,2,0,4,0,0,0,1,1
9.38,2,3,4,0,1,0,0,1
5.67,5,1,1,0,1,1,1,1
9.06,4,3,3,1,0,1,0,1
7.61,4,2,1,0,0,0,0,1
9.47,0,3,2,1,0,0,1,1
5.8,0,3,0,1,0,1,0,0
7.72,3,2,5,0,1,0,0,1
9.38,5,1,0,0,0,1,1,1
7.59,4,0,0,0,1,1,0,1
8.02,1,1,1,0,0,0,1,1
8.28,2,2,5,1,0,0,1,1
7.32,0,3,5,0,0,1,1,1
8.01,2,1,5,0,0,0,1,1
7.84,2,0,1,0,1,0,1,1
9.1,3,2,0,1,1,0,0,1
5.68,4,1,1,0,1,0,0,1
6.62,0,0,4,0,0,1,0,0
9.3,2,2,4,1,0,1,1,1
9.06,0,0,1,1,1,1,1,1
7.32,1,2,5,0,1,1,1,1
7.98,3,3,0,0,0,0,1,1
6.61,1,1,1,0,0,0,0,1
6.25,0,0,1,0,1,1,0,0
7.35,0,2,1,0,0,1,1,1
6.91,4,0,2,1,0,0,1,1
7.83,2,0,4,1,1,1,0,1
5.81,2,1,5,0,0,1,1,1
9.4,1,3,3,0,1,0,1,1
9.44,3,0,5,1,0,1,1,1
8.29,5,2,3,0,1,0,0,1
7.64,2,2,2,0,0,0,0,1
6.74,4,3,1,0,1,1,1,1
8.76,1,2,2,0,1,0,0,1
8.24,1,3,2,0,1,1,1,1
6.15,5,2,0,1,1,0,1,1
9.14,4,1,4,0,0,1,0,1
8.79,3,0,3,0,0,1,1,1
9.3,4,1,1,0,1,1,1,1
8.4,3,0,3,1,0,0,0,1
7.95,4,0,5,1,0,0,1,1
7.17,4,0,3,1,0,1,1,1
9.23,0,1,5,1,0,0,1,1
8.96,1,0,4,0,0,1,0,1
5.68,4,1,5,1,1,1,1,1
5.61,5,3,3,0,1,0,0,1
7.01,4,2,3,0,1,1,1,1
8.74,2,2,5,1,1,0,1,1
9.45,1,0,2,1,0,1,1,1
6.1,2,1,4,1,0,0,1,1
7.88,1,2,0,1,1,1,0,1
7.02,2,1,1,1,0,1,0,0
9.38,4,1,3,0,0,0,1,1
8.87,4,0,1,1,1,1,1,1
8.85,0,2,0,1,0,1,1,1
7.37,5,0,1,1,1,0,1,1
7.16,2,0,0,0,1,1,1,1
6.59,3,2,5,1,0,0,1,1
5.73,0,2,2,0,0,1,1,1
8.96,2,3,3,1,1,0,1,1
8.75,2,3,0,1,1,1,0,1
9.5,0,1,1,0,0,1,0,1
9.49,4,2,3,1,1,1,0,1
7.72,2,3,2,0,1,0,1,1
8.58,4,1,5,0,1,0,1,1
9.28,0,1,3,0,0,0,1,1
8.9,4,1,0,1,1,0,0,1
6.49,1,3,2,1,0,1,1,0
7.3,3,2,1,1,1,1,0,1
6.02,2,0,2,0,0,0,1,1
9.32,5,1,2,1,1,0,0,1
7.92,3,3,4,0,0,0,0,1
6.41,4,3,2,1,0,1,0,1
8.19,2,0,2,0,0,0,1,1
7.97,4,0,3,0,1,0,0,1
6.93,1,3,1,0,1,1,1,1
5.95,0,2,3,1,1,1,1,1
8.19,2,0,3,0,0,0,1,1
7.58,1,3,0,0,1,1,1,1
8.59,1,0,3,0,0,0,1,0
7.58,2,2,4,0,1,1,0,1
8.91,4,1,4,0,0,0,1,1
7.71,5,0,0,0,0,0,1,1
7.74,1,2,5,1,0,0,1,1
9.01,3,3,1,1,1,0,1,1
7.11,1,0,1,0,1,1,1,1
6.04,5,0,3,1,1,1,0,1
5.62,4,3,3,1,0,1,0,1
8.52,4,1,5,0,0,1,1,1
7.98,3,3,3,0,1,0,0,1
8.32,1,0,1,0,1,0,0,1
6.35,4,3,2,1,1,1,1,1
6.05,5,2,4,0,0,1,0,1
5.56,2,3,2,1,0,1,1,1
6.9,0,0,2,0,0,1,0,0
7.86,0,3,1,1,0,1,0,1
7.07,0,1,2,0,0,0,0,1
7.25,1,3,5,0,1,0,1,1
9.12,3,1,0,1,0,0,0,1
6.89,4,2,3,1,0,1,0,1
7.56,2,1,0,1,0,1,1,1
8.63,5,3,4,1,0,1,1,1
7.09,2,0,3,1,0,1,0,1
7.99,5,1,2,1,1,0,1,1
8.95,1,2,4,0,0,0,0,1
9.3,0,1,3,1,0,1,0,1
6.09,1,1,5,0,0,0,1,1
9.21,3,1,5,0,1,0,1,1
7.47,3,2,5,1,1,1,1,1
6.53,5,3,5,0,1,1,0,1
7.34,4,1,2,1,0,1,1,1
9.42,4,1,0,1,1,1,0,1
7.47,5,0,3,0,0,1,1,1
6.82,3,2,2,0,0,1,0,1
8.03,3,1,5,1,1,0,1,1
6.46,3,2,0,1,0,0,0,1
5.8,1,1,4,0,0,1,1,0
6.02,3,3,4,0,0,0,0,1
6.01,2,3,4,0,1,1,1,1
6.11,0,1,5,0,0,1,1,1
6.06,3,3,4,1,0,1,0,1
8.06,5,1,1,1,1,1,1,1
6.23,0,3,3,1,0,0,0,1
6.88,1,0,3,1,0,1,0,1
9.09,5,0,5,0,1,0,1,1
7.4,0,0,1,0,0,1,0,0
8.17,5,2,2,1,0,1,1,1
6.19,1,2,2,1,0,1,1,1
6.27,2,0,4,1,0,0,0,0
5.66,1,2,0,1,0,1,1,0
6.18,1,3,2,1,1,1,0,1
6.61,5,1,0,1,1,1,0,1
6.21,4,1,3,1,1,0,1,1
5.85,3,1,0,1,1,0,1,1
5.98,3,0,3,1,0,0,0,0
7.34,2,2,1,0,0,1,0,1
6.33,2,3,1,1,0,0,1,1
6.96,3,3,5,0,0,1,1,1
7.51,4,0,5,0,0,0,1,1
8.26,3,3,4,1,1,0,1,1
5.66,4,3,2,1,1,1,0,1
8.7,2,3,4,0,0,0,1,1
8.01,0,3,3,0,0,1,0,1
5.83,5,2,4,1,0,1,0,1
8.99,2,3,0,0,1,0,1,1
9.18,2,1,3,1,0,1,0,1
5.74,1,0,5,1,0,1,1,1
6.61,1,2,1,1,0,0,0,1
8.72,1,3,5,0,1,0,1,1
8.49,5,2,2,0,0,1,0,1
6.24,1,3,3,1,1,0,0,0
6.34,4,1,3,0,1,1,1,1
6.98,3,0,0,0,1,1,1,1
7.44,0,3,2,0,1,0,0,1
7.97,2,3,1,0,1,0,0,1
6.98,4,3,3,0,1,0,1,1
7.35,0,3,3,0,0,0,0,1
8.49,4,0,0,0,0,1,1,1
5.65,4,0,4,1,0,1,0,0
6.51,2,1,1,0,1,0,1,1
8.35,3,0,5,0,0,0,0,1
9.08,1,3,2,0,1,1,1,1
7.55,5,1,3,0,1,1,1,1
7.63,3,1,3,0,1,1,0,1
5.93,5,1,5,0,0,1,1,1
7.29,2,3,1,0,1,0,0,1
7.63,2,2,4,0,1,1,1,1
6.47,2,3,3,1,0,1,1,1
6.58,0,0,1,0,0,0,1,1
7.01,5,0,5,0,1,1,0,1
5.58,3,3,0,0,1,1,1,1
6.79,3,3,4,0,0,0,0,1
6.35,4,1,2,1,0,0,1,0
6.81,4,3,3,1,0,0,0,1
5.98,4,1,1,1,1,1,0,1
9.06,2,0,0,1,0,1,0,1
7.87,3,1,2,1,0,0,1,1
8.22,5,3,1,1,0,0,0,1
8.66,2,0,1,1,1,1,1,1
7.49,0,2,2,1,0,0,0,0
5.85,4,1,0,1,0,0,0,1
7.65,2,0,5,1,0,0,0,1
7.85,2,1,0,1,0,1,0,0
8.48,0,0,4,1,0,1,1,1
7.23,1,0,3,1,1,1,0,1
6.01,3,1,2,1,1,1,0,1
6.64,5,2,5,1,1,1,1,1
6.95,1,0,2,1,0,1,0,1
8.08,4,0,2,0,1,0,0,1
7.78,2,0,0,1,1,1,0,1
6.92,0,2,3,0,1,1,0,1
9.45,0,2,4,1,0,0,1,1
7.92,3,3,1,1,0,1,1,1
6.45,1,1,1,0,1,1,0,1
5.91,3,2,2,1,1,0,1,1
6.11,2,1,3,0,0,0,1,1
6.48,3,3,5,0,0,0,0,1
6.14,5,1,0,0,1,1,1,1
6.25,0,2,3,1,0,0,0,1
6.64,0,1,3,1,1,1,1,1
6.19,4,2,0,1,0,1,1,1
9.09,4,1,2,0,1,1,1,1
5.82,2,2,3,0,1,1,0,1
7.6,5,2,1,1,0,0,1,1
7.14,1,1,0,1,1,0,0,1
9.43,3,3,5,1,1,1,0,1
5.95,2,0,4,1,1,0,1,0
7.09,4,3,2,1,0,1,0,1
9.38,3,1,0,0,0,1,1,1
8.96,4,3,4,0,0,1,0,1
8.77,3,2,4,0,1,0,0,1
6.53,1,0,5,1,0,1,1,1
6.18,2,1,3,0,1,1,1,1
8.17,3,1,5,0,1,0,1,1
9.22,5,1,3,0,0,0,1,1
7.73,0,0,3,0,0,0,0,0
7.79,5,2,0,0,1,0,0,1
6.62,5,1,0,1,1,1,0,1
8.58,0,3,2,0,0,0,1,1
6.25,5,1,3,1,0,1,0,1
6.79,3,1,4,1,0,0,1,1
7.2,3,1,1,1,1,0,0,1
7.53,3,1,2,1,1,0,1,1
6.47,0,2,0,1,1,0,0,1
5.96,5,3,5,0,1,0,0,1
7.94,0,2,2,0,1,0,1,1
6.65,3,3,2,1,0,1,0,1
